250;0.000000;0.000000;-107374176.000000;-107374176.000000;-107374176.000000;-1.#IND00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00
500;0.000000;0.000000;-107374176.000000;-107374176.000000;-107374176.000000;-1.#IND00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00;-1.#INF00
1500;-46.610600;0.000000;-0.078260;0.088203;1.525000;-13.642080;141.857605;164.040543;141.540909;145.519333;139.820786;205.490585;141.163971;184.093887;143.052170;156.726181;128.442841;216.952179;146.082855;154.779938;138.176453;154.779938;145.253738;194.792236;135.675842;194.792236;183.000000;162.021713;183.000000;191.529678;184.620193;174.835724;182.109344;175.954773;134.997452;163.849655;127.095444;144.498047;130.726440;204.344208;127.116104;183.378265;165.192993;176.698669
1546;-43.065716;0.000000;-0.077658;0.087281;1.425000;-17.653107;141.829971;163.999176;141.564941;145.547012;139.797089;205.474762;141.187988;184.053818;143.032440;156.698196;125.466866;211.924194;146.064926;154.773102;138.154633;154.773102;145.277756;194.764282;135.648483;194.764282;183.000000;161.950958;183.000000;191.383789;184.634583;174.894913;182.135635;175.886810;134.971130;163.794830;127.049355;144.458664;130.712784;204.339798;127.066856;183.309402;165.204758;176.566666
1578;-41.296883;0.000000;-0.077107;0.086894;1.400000;-16.998737;141.815887;163.884003;141.555145;145.432785;139.783005;205.360535;141.210159;183.881699;143.023651;156.613464;126.480537;210.756943;146.050842;154.658401;138.140549;154.658401;145.263672;194.621124;135.634399;194.621124;182.000000;161.915436;182.000000;191.318146;183.072922;168.653549;182.084000;175.765427;134.982224;163.684860;127.040741;144.391525;130.752701;204.062180;127.168976;183.187241;165.157928;176.415802
1625;-39.673210;0.000000;-0.076925;0.096226;1.425000;-17.672813;141.840927;163.663879;141.535614;145.293289;139.763489;205.253876;141.190628;183.690521;143.054123;155.422836;125.461014;210.669647;146.031326;154.478577;138.121033;154.478577;145.283035;194.472198;135.644287;194.472198;182.000000;161.904526;182.000000;191.273178;183.108032;168.767960;182.054581;175.740082;135.004303;163.445251;127.072205;144.203873;130.759460;203.947647;127.152672;182.967865;165.164841;176.345016
1671;-38.307095;0.000000;-0.076544;0.099830;1.450000;-17.641296;141.829834;163.440613;141.524536;145.208572;139.781921;205.075180;141.179550;183.475784;143.043030;155.282578;125.473030;210.561920;146.020233;154.324585;138.135284;154.324585;145.296829;194.275482;135.633194;194.275482;182.000000;161.763123;182.000000;191.188721;182.724472;167.505890;181.905151;175.632813;135.004929;163.233963;127.099686;144.041718;130.777420;203.779984;127.161919;182.765808;165.076233;176.190216
1718;-37.202316;0.000000;-0.076242;0.102648;1.450000;-17.643454;141.819107;163.435760;141.533325;145.203720;139.771179;205.079498;141.166245;183.467957;143.035126;155.274643;125.461853;210.557068;146.014145;154.319748;138.125839;154.319748;145.288116;194.273727;135.621490;194.273727;182.000000;161.789383;182.000000;191.203629;182.728287;167.517853;181.880920;175.656937;134.992599;163.221771;127.100304;144.014297;130.767227;203.786819;127.150124;182.764175;165.056854;176.217224
1750;-37.050686;0.000000;-0.082318;0.099734;1.425000;-18.952009;141.534195;163.046860;141.259354;144.886429;139.527374;204.828079;140.890518;183.061447;143.769745;155.933472;125.183479;210.088699;145.747620;153.966644;137.861740;153.966644;145.059601;193.944763;135.364166;193.944763;182.000000;161.536957;182.000000;190.997238;182.571304;167.016647;181.898087;175.348038;134.717087;162.833557;126.850182;143.691208;130.519928;203.432861;126.855011;182.309372;164.969498;175.919403
1796;-37.768532;0.000000;-0.074634;0.103279;1.450000;-18.629190;141.370377;162.603394;141.115021;144.620346;139.359573;204.448334;140.736404;182.643967;142.638306;155.608856;124.043907;210.798065;145.619995;153.611877;137.731888;153.611877;144.931870;193.546143;135.245926;193.546143;182.000000;161.330948;182.000000;190.841400;182.312637;166.242584;181.723450;175.161972;134.558807;162.366623;126.669334;143.286957;130.367767;203.067719;126.719154;181.879349;164.773575;175.661270
1843;-37.336689;0.000000;-0.072350;0.047574;1.400000;-16.973133;141.256134;162.185608;141.013733;144.308792;139.311462;204.154373;140.658340;182.216599;142.525116;155.246964;125.977722;209.491135;145.508102;153.247192;137.625854;153.247192;144.860306;193.185486;135.187073;193.185486;181.000000;161.193436;181.000000;190.650314;182.359573;166.381729;181.497116;174.994186;134.451706;161.955826;126.539162;142.932190;130.320190;202.704834;126.625854;181.421143;164.629089;175.476440
1875;-37.367424;0.000000;-0.068955;0.032987;1.400000;-16.983236;141.052185;161.785507;140.814056;144.058716;139.142334;203.862000;140.446213;181.815872;142.303406;154.933945;125.734062;209.215790;145.288727;152.922119;137.408401;152.922119;144.747223;192.838928;135.044937;192.838928;182.000000;160.878586;182.000000;190.466248;182.628845;167.236801;181.463013;174.697556;134.227600;161.536026;126.321762;142.612061;130.114273;202.442993;126.359344;180.977264;164.498581;175.060913
1906;-38.402321;0.000000;-0.065243;0.016839;1.425000;-17.615969;140.837402;161.381042;140.606140;143.840042;138.991608;203.572617;140.269348;181.390381;142.099335;154.640778;124.590233;209.812943;145.088303;152.610535;137.215683;152.610535;144.596313;192.481506;134.909454;192.481506;181.000000;160.704926;181.000000;190.336517;182.524948;166.891464;181.405884;174.485443;134.015686;161.114838;126.128105;142.287048;129.969696;202.064133;126.174118;180.517517;164.433487;174.820877
1937;-38.160744;0.000000;-0.062936;0.007202;1.400000;-17.921152;140.842972;161.373932;140.611710;143.836639;138.996353;203.568512;140.265915;181.380615;142.104904;154.632111;124.593498;208.809464;145.081894;152.605286;137.221252;152.605286;144.601883;192.474564;134.915024;192.474564;181.000000;160.650940;181.000000;190.291885;182.449448;166.651276;181.436020;174.409988;134.001007;161.113693;126.112839;142.289490;129.977631;202.058792;126.176430;180.517075;164.441162;174.727356
1968;-37.130409;0.000000;-0.067417;0.003342;1.450000;-18.600706;140.613419;160.986496;140.382507;143.532532;138.817352;203.306015;140.036652;181.001907;142.879807;153.286224;124.329819;208.434174;144.850891;152.259521;137.003372;152.259521;144.399551;192.153961;134.741486;192.153961;181.000000;160.478912;181.000000;190.179916;182.086563;165.484634;181.206390;174.236359;133.778015;160.717789;125.900406;141.954620;129.798416;201.781265;125.913086;180.086517;164.195770;174.536270
2000;-36.821510;0.000000;-0.068456;-0.002964;1.450000;-18.584080;140.704758;160.714325;140.473846;143.415298;138.908691;203.164505;139.987656;180.751282;142.971146;153.112335;124.421158;208.313263;144.942230;152.064819;136.848251;152.064819;144.490891;191.957886;134.832825;191.957886;181.000000;160.246475;181.000000;190.047424;181.810211;164.629822;181.057953;174.022232;133.561478;160.443375;125.693367;141.789169;129.776337;201.673340;125.814621;179.863480;164.071472;174.217224
2031;-37.414944;0.000000;-0.058892;-0.011417;1.400000;-18.026073;140.501480;160.492081;140.275986;143.214371;138.719986;203.013763;139.787018;180.534622;141.781113;153.918854;124.172798;208.057220;144.753204;151.853226;136.654144;151.853226;144.280685;191.774200;134.629669;191.774200;181.000000;160.002411;181.000000;189.870392;181.674530;164.222122;180.930267;173.746872;133.358490;160.224838;125.504730;141.575119;129.558014;201.452728;125.603836;179.659546;163.931137;173.883072
2078;-37.529144;0.000000;-0.053274;-0.015077;1.450000;-16.442383;140.160309;160.151276;139.990814;142.952179;138.353043;202.826523;139.347183;180.189636;141.438782;152.622131;124.856712;208.839813;144.412720;151.551727;136.326904;151.551727;143.939529;191.508087;134.281754;191.508087;181.000000;159.814560;181.000000;189.723328;181.856659;164.773178;180.814316;173.593384;133.031555;159.882965;125.235184;141.279053;129.205948;201.238098;125.215775;179.271240;163.698349;173.691330
2125;-36.817833;0.000000;-0.037946;-0.010270;1.475000;-15.538375;139.737991;159.417572;139.590576;142.538544;138.603622;202.459915;139.169525;179.483063;140.027328;151.080963;124.107300;208.368317;143.994858;150.978058;135.944626;150.978058;144.190109;190.971497;134.532333;190.971497;181.000000;159.409775;181.000000;189.457031;182.214737;165.957581;180.611603;173.194855;132.598206;159.139297;124.831268;140.764175;129.138687;200.807327;124.933342;178.553314;163.469116;173.104614
2171;-36.561096;0.000000;-0.031535;-0.009864;1.475000;-15.608639;139.709457;159.414825;139.562042;142.535797;138.575089;202.457169;139.140991;179.480316;140.074463;151.078217;124.078766;208.365570;144.042786;150.975311;135.916092;150.975311;144.161575;190.968735;134.503799;190.968735;181.000000;159.387131;181.000000;189.436157;182.161926;165.766693;180.589737;173.165894;132.651382;159.150101;124.915688;140.756073;129.120102;200.821808;124.916084;178.565552;163.491028;173.096512
