# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

b 3 0 1056 0 2604 1150
p 2 12 1029 15 17240 1939
b 3 0 1056 0 2237 1215
b 3 0 1056 0 2369 1184
p 2 4 995 57 16523 1654
b 3 0 1056 0 1824 1026
b 3 0 1056 0 2090 1064
p 2 0 1041 15 16876 1632
b 3 0 1056 0 1612 922
b 3 0 1056 0 1868 1012
p 2 0 1010 46 16179 1434
b 3 0 1056 0 1573 819
b 3 0 1056 0 1814 934
p 2 0 1020 36 16166 1369
b 3 0 1056 0 1934 945
b 3 0 1056 0 2278 1011
p 2 0 1016 40 16387 1392
b 3 0 1056 0 3655 1288
b 3 0 1056 0 3221 1263
p 2 67 982 7 20878 1920
b 3 0 1056 0 3593 1533
p 2 60 989 7 19469 1966
b 3 0 1056 0 5333 2003
b 3 0 1056 0 4879 1832
p 2 74 982 0 21056 2200
b 3 0 1056 0 6518 2123
b 3 0 1056 0 6487 2127
p 2 76 974 6 22281 2339
b 3 0 1056 0 6154 2271
b 3 0 1056 0 5987 2213
p 2 35 1020 1 20428 2406
b 3 0 1056 0 5964 2088
b 3 0 1056 0 5811 2242
p 2 32 1016 8 17455 2330
b 3 0 1056 0 5728 2054
b 3 0 1056 0 5538 1958
p 2 58 969 29 15399 2367
b 3 0 1056 0 4849 2043
b 3 0 1056 0 3999 1780
p 2 33 985 38 12790 2133
b 3 0 1056 0 2782 1496
b 3 0 1056 0 2625 1342
p 2 1 1033 22 10369 1929
i 2 1056 0 0 22766 4062
b 3 0 1056 0 1614 843
b 3 0 1056 0 1805 988
p 2 0 1036 20 8338 1581
b 3 0 1056 0 1863 996
b 3 0 1056 0 1922 1017
p 2 0 1023 33 8411 1474
b 3 0 1056 0 1552 824
b 3 0 1056 0 1652 913
p 2 0 1036 20 8718 1406
b 3 0 1056 0 1602 918
b 3 0 1056 0 1588 973
p 2 0 1045 11 7206 1493
b 3 0 1056 0 1368 861
b 3 0 1056 0 1424 889
p 2 0 1026 30 7621 1476
b 3 0 1056 0 1410 863
b 3 0 1056 0 1688 1005
p 2 0 1034 22 8545 1546
b 3 0 1056 0 1445 863
b 3 0 1056 0 1505 896
p 2 0 1015 41 8263 1484
b 3 0 1056 0 1402 913
b 3 0 1056 0 1489 954
p 2 0 1046 10 8446 1570
b 3 0 1056 0 1502 948
b 3 0 1056 0 1778 1031
p 2 3 1016 37 9528 1547
b 3 0 1056 0 1666 934
b 3 0 1056 0 1733 983
p 2 0 1003 53 8549 1482
b 3 0 1056 0 1689 861
b 3 0 1056 0 1774 877
p 2 0 1002 54 8555 1445
b 3 0 1056 0 1500 885
b 3 0 1056 0 1500 856
p 2 2 1038 16 9905 1539
b 3 0 1056 0 937 731
b 3 0 1056 0 1179 948
p 2 1 1032 23 9053 1513
b 3 0 1056 0 1030 657
b 3 0 1056 0 1414 939
p 2 0 1046 10 7985 1490
b 3 0 1056 0 912 726
b 3 0 1056 0 1168 893
p 2 0 1041 15 7796 1410
b 3 0 1056 0 1064 773
b 3 0 1056 0 1168 835
p 2 0 1035 21 6584 1421
b 3 0 1056 0 753 605
b 3 0 1056 0 826 673
p 2 0 973 83 5867 1318
b 3 0 1056 0 691 637
b 3 0 1056 0 915 802
p 2 0 1002 54 5884 1340
b 3 0 1056 0 641 582
b 3 0 1056 0 713 670
p 2 0 979 77 5836 1289
b 3 0 1056 0 1001 760
b 3 0 1056 0 1191 761
p 2 0 1037 19 6678 1412
b 3 0 1056 0 1197 753
b 3 0 1056 0 1317 750
p 2 0 1007 49 7942 1394
b 3 0 1056 0 1210 818
b 3 0 1056 0 1309 815
p 2 0 1014 42 6698 1375
b 3 0 1056 0 1114 684
b 3 0 1056 0 970 693
p 2 0 1025 31 7082 1364
b 3 0 1056 0 1085 824
b 3 0 1056 0 1381 896
p 2 0 1038 18 7309 1389
b 3 0 1056 0 1208 755
b 3 0 1056 0 1399 782
p 2 0 1034 22 7586 1407
b 3 0 1056 0 1314 805
b 3 0 1056 0 1287 830
p 2 0 1035 21 7698 1378
b 3 0 1056 0 1424 806
b 3 0 1056 0 1212 717
p 2 0 1030 26 6487 1338
b 3 0 1056 0 1357 876
b 3 0 1056 0 1209 938
p 2 0 992 64 7084 1350
b 3 0 1056 0 952 588
b 3 0 1056 0 1012 620
p 2 0 991 65 5680 1258
b 3 0 1056 0 1398 736
b 3 0 1056 0 1529 763
p 2 0 983 73 6973 1328
b 3 0 1056 0 1508 785
b 3 0 1056 0 1214 789
p 2 0 1005 51 6759 1315
b 3 0 1056 0 2063 1270
b 3 0 1056 0 2665 1381
p 2 0 1022 34 8748 1401
b 3 0 1056 0 3071 1246
b 3 0 1056 0 3716 1389
p 2 0 1048 8 7660 1450
b 3 0 1056 0 3548 1881
b 3 0 1056 0 8396 2225
p 2 9 1040 7 11586 1829
b 3 0 1056 0 3820 1752
b 3 0 1056 0 6744 1963
p 2 1 1046 9 8100 1790
b 3 0 1056 0 3190 1808
b 3 0 1056 0 2867 1476
p 2 0 1054 2 14716 1938
b 3 0 1056 0 4265 1739
b 3 0 1056 0 4012 1913
p 2 7 1049 0 11047 1863
b 3 0 1056 0 2903 1663
b 3 0 1056 0 3499 1707
p 2 26 1030 0 12248 2048
b 3 0 1056 0 4368 2066
b 3 0 1056 0 4514 2003
p 2 66 990 0 11954 2118
b 3 0 1056 0 4572 1725
p 2 55 1001 0 12125 2069
b 3 0 1056 0 5684 2189
b 3 0 1056 0 5687 2207
p 2 48 1005 3 12521 2032
b 3 0 1056 0 4673 1857
p 2 61 991 4 12064 1903
b 3 0 1056 0 3311 1490
b 3 0 1056 0 2900 1477
p 2 35 1016 5 8573 1749
b 3 0 1056 0 4230 1752
b 3 0 1056 0 6614 1995
p 2 6 1047 3 11943 1903
b 3 0 1056 0 6233 2334
b 3 0 1056 0 6281 2171
p 2 8 1044 4 14070 1868
b 3 0 1056 0 7882 2472
p 2 54 999 3 19733 2559
b 3 0 1056 0 10248 2167
b 3 0 1056 0 6611 2084
p 2 10 1041 5 12627 2011
b 3 0 1056 0 6828 2357
p 2 11 1035 10 24016 2228
b 3 0 1056 0 3081 1601
b 3 0 1056 0 2035 1326
p 2 0 1055 1 9542 1547
b 3 0 1056 0 3792 1639
b 3 0 1056 0 2976 1379
p 2 5 1051 0 11386 1731
b 3 0 1056 0 2095 1435
b 3 0 1056 0 1709 1081
p 2 0 1056 0 10685 1611
b 3 0 1056 0 2444 1371
b 3 0 1056 0 2157 1192
p 2 0 1052 4 9984 1603
b 3 0 1056 0 2874 1211
b 3 0 1056 0 1851 919
p 2 0 1055 1 7806 1558
b 3 0 1056 0 2822 1122
b 3 0 1056 0 2488 1034
p 2 0 1036 20 7370 1390
b 3 0 1056 0 1605 857
b 3 0 1056 0 1332 792
p 2 0 1020 36 7054 1306
b 3 0 1056 0 928 897
b 3 0 1056 0 930 912
p 2 0 980 76 5248 1263
b 3 0 1056 0 1055 1010
b 3 0 1056 0 1453 819
p 2 0 1025 31 7243 1320
b 3 0 1056 0 1943 1191
b 3 0 1056 0 1766 859
p 2 0 1007 49 7533 1317
b 3 0 1056 0 2335 1108
b 3 0 1056 0 2381 838
p 2 0 1035 21 7528 1319
b 3 0 1056 0 3043 1298
b 3 0 1056 0 2422 1007
p 2 0 1046 10 9812 1468
b 3 0 1056 0 1743 1088
b 3 0 1056 0 2128 960
p 2 0 1052 4 8430 1426
b 3 0 1056 0 1667 1171
b 3 0 1056 0 1651 971
p 2 0 1042 14 9444 1415
b 3 0 1056 0 2188 1139
b 3 0 1056 0 1795 795
p 2 0 1044 12 5984 1357
b 3 0 1056 0 2592 1404
b 3 0 1056 0 3093 1445
p 2 0 1055 1 7934 1408
b 3 0 1056 0 5217 1749
b 3 0 1056 0 6337 1598
p 2 0 1055 1 8870 1524
b 3 0 1056 0 4638 1668
b 3 0 1056 0 4300 1673
p 2 3 1052 1 13605 1555
b 3 0 1056 0 4657 1835
b 3 0 1056 0 5366 1818
p 2 0 1042 14 11966 1596
b 3 0 1056 0 8567 1917
b 3 0 1056 0 8980 1927
p 2 0 1056 0 11552 1577
b 3 0 1056 0 6713 2191
b 3 0 1056 0 6067 2208
p 2 5 1050 1 15152 1953
b 3 0 1056 0 4157 2019
b 3 0 1056 0 5523 2051
p 2 4 1051 1 10696 2045
b 3 0 1056 0 3839 2339
b 3 0 1056 0 4081 2049
p 2 22 1034 0 10756 2293
b 3 0 1056 0 3963 2265
b 3 0 1056 0 3846 2172
p 2 10 1046 0 10572 2424
b 3 0 1056 0 4180 2156
p 2 51 1004 1 8023 2306
b 3 0 1056 0 3882 2342
b 3 0 1056 0 4033 2294
p 2 4 1052 0 8233 2263
b 3 0 1056 0 3771 2106
b 3 0 1056 0 2594 1765
p 2 29 1027 0 7475 2127
b 3 0 1056 0 3673 2021
b 3 0 1056 0 4574 2229
p 2 69 986 1 10142 2299
b 3 0 1056 0 3367 1722
b 3 0 1056 0 3812 1804
p 2 40 1015 1 11190 2329
b 3 0 1056 0 4807 2031
p 2 78 978 0 12925 2416
p 2 63 993 0 13245 2715
b 3 0 1056 0 7268 2642
p 2 53 1002 1 17770 2812
b 3 0 1056 0 6094 2284
b 3 0 1056 0 7329 2240
p 2 21 1033 2 16301 2393
b 3 0 1056 0 8785 2771
p 2 64 991 1 18685 2796
b 3 0 1056 0 9334 3166
p 2 70 986 0 17587 2880
b 3 0 1056 0 4733 1608
p 2 16 1040 0 20896 2343
b 3 0 1056 0 2243 1325
b 3 0 1056 0 3544 1396
p 2 0 1054 2 8879 1839
b 3 0 1056 0 2618 1221
b 3 0 1056 0 2000 1239
p 2 0 1054 2 9589 1744
b 3 0 1056 0 2959 1602
b 3 0 1056 0 6665 2536
p 2 69 987 0 17807 2418
b 3 0 1056 0 4591 2363
p 2 14 1041 1 15529 2212
b 3 0 1056 0 3989 2155
b 3 0 1056 0 4155 1674
p 2 0 1054 2 15574 1972
b 3 0 1056 0 2613 1620
b 3 0 1056 0 3107 1560
p 2 0 1052 4 8641 1640
b 3 0 1056 0 3495 1522
b 3 0 1056 0 1882 1284
p 2 0 1043 13 7537 1590
b 3 0 1056 0 2331 1498
b 3 0 1056 0 1730 1276
p 2 0 1041 15 9823 1432
b 3 0 1056 0 1227 1023
b 3 0 1056 0 953 806
p 2 0 1025 31 6400 1356
b 3 0 1056 0 956 830
b 3 0 1056 0 1019 792
p 2 0 995 61 5834 1307
b 3 0 1056 0 1340 889
b 3 0 1056 0 1076 665
p 2 0 1034 22 6835 1294
b 3 0 1056 0 1098 910
b 3 0 1056 0 1261 970
p 2 0 1006 50 6125 1264
b 3 0 1056 0 896 817
b 3 0 1056 0 774 690
p 2 0 1008 48 6236 1313
b 3 0 1056 0 776 750
b 3 0 1056 0 689 671
p 2 0 925 131 4554 1222
b 3 0 1056 0 1169 773
b 3 0 1056 0 1222 633
p 2 0 927 129 4725 1224
b 3 0 1056 0 1894 1073
b 3 0 1056 0 1581 890
p 2 0 949 107 7269 1339
b 3 0 1056 0 1795 1206
b 3 0 1056 0 1526 831
p 2 0 1019 37 6770 1337
b 3 0 1056 0 1548 943
b 3 0 1056 0 1470 836
p 2 0 954 102 6674 1310
b 3 0 1056 0 1350 881
b 3 0 1056 0 1150 746
p 2 0 980 76 6335 1313
b 3 0 1056 0 1724 1011
b 3 0 1056 0 1532 878
p 2 0 964 92 5894 1247
i 2 1056 0 0 22773 4014
b 3 0 1056 0 1290 862
b 3 0 1056 0 1181 822
p 2 0 1018 38 5627 1308
b 3 0 1056 0 1354 879
b 3 0 1056 0 1697 1110
p 2 0 1040 16 5823 1348
b 3 0 1056 0 1553 901
b 3 0 1056 0 1470 921
p 2 0 1019 37 7384 1399
b 3 0 1056 0 1457 950
b 3 0 1056 0 1563 987
p 2 0 1052 4 7792 1455
b 3 0 1056 0 1509 902
b 3 0 1056 0 1757 925
p 2 0 1036 20 7353 1395
b 3 0 1056 0 1691 1006
b 3 0 1056 0 1750 1005
p 2 0 1035 21 8506 1451
b 3 0 1056 0 1383 850
b 3 0 1056 0 1321 794
p 2 12 1020 24 9095 1598
b 3 0 1056 0 1403 906
b 3 0 1056 0 1545 877
p 2 33 1015 8 9592 1716
b 3 0 1056 0 1275 826
b 3 0 1056 0 1214 821
p 2 0 1028 28 6667 1506
b 3 0 1056 0 1059 731
b 3 0 1056 0 1252 806
p 2 0 1001 55 6087 1397
b 3 0 1056 0 1163 704
b 3 0 1056 0 1070 713
p 2 0 988 68 6323 1376
b 3 0 1056 0 906 755
b 3 0 1056 0 846 774
p 2 0 1019 37 5543 1369
b 3 0 1056 0 883 656
b 3 0 1056 0 1101 711
p 2 0 982 74 5627 1294
b 3 0 1056 0 872 681
b 3 0 1056 0 870 700
p 2 0 988 68 5591 1278
b 3 0 1056 0 993 647
b 3 0 1056 0 956 633
p 2 0 970 86 6446 1314
b 3 0 1056 0 874 706
b 3 0 1056 0 940 731
p 2 0 1027 29 5749 1386
b 3 0 1056 0 1027 698
b 3 0 1056 0 1439 792
p 2 0 957 99 5917 1333
b 3 0 1056 0 1132 701
b 3 0 1056 0 1027 719
p 2 0 990 66 6716 1391
